"class","age","sex","survived"
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",TRUE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","male",FALSE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",TRUE
"first","adult","female",FALSE
"first","adult","female",FALSE
"first","adult","female",FALSE
"first","adult","female",FALSE
"first","child","male",TRUE
"first","child","male",TRUE
"first","child","male",TRUE
"first","child","male",TRUE
"first","child","male",TRUE
"first","child","female",TRUE
"second","adult","male",TRUE
"second","adult","male",TRUE
"second","adult","male",TRUE
"second","adult","male",TRUE
"second","adult","male",TRUE
"second","adult","male",TRUE
"second","adult","male",TRUE
"second","adult","male",TRUE
"second","adult","male",TRUE
"second","adult","male",TRUE
"second","adult","male",TRUE
"second","adult","male",TRUE
"second","adult","male",TRUE
"second","adult","male",TRUE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","male",FALSE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",TRUE
"second","adult","female",FALSE
"second","adult","female",FALSE
"second","adult","female",FALSE
"second","adult","female",FALSE
"second","adult","female",FALSE
"second","adult","female",FALSE
"second","adult","female",FALSE
"second","adult","female",FALSE
"second","adult","female",FALSE
"second","adult","female",FALSE
"second","adult","female",FALSE
"second","adult","female",FALSE
"second","adult","female",FALSE
"second","child","male",TRUE
"second","child","male",TRUE
"second","child","male",TRUE
"second","child","male",TRUE
"second","child","male",TRUE
"second","child","male",TRUE
"second","child","male",TRUE
"second","child","male",TRUE
"second","child","male",TRUE
"second","child","male",TRUE
"second","child","male",TRUE
"second","child","female",TRUE
"second","child","female",TRUE
"second","child","female",TRUE
"second","child","female",TRUE
"second","child","female",TRUE
"second","child","female",TRUE
"second","child","female",TRUE
"second","child","female",TRUE
"second","child","female",TRUE
"second","child","female",TRUE
"second","child","female",TRUE
"second","child","female",TRUE
"second","child","female",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",TRUE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
"third","adult","male",FALSE
